"","formula","aics","bics","acc"
"839",839,899.636907058775,941.798412607787,0.60875
"857",857,899.699879912586,946.545997189265,0.6425
"55",55,899.795602853901,941.957108402912,0.68625
"746",746,899.802342485507,946.648459762186,0.655
"136",136,899.865841332341,951.396570336688,0.63375
"854",854,900.077380016648,942.238885565659,0.67375
"649",649,900.197944339531,951.728673343878,0.665
"863",863,900.256045009479,951.786774013826,0.6725
"858",858,900.320656856964,951.851385861312,0.66875
"837",837,900.351818080482,942.513323629493,0.65375
"703",703,900.461647625321,951.992376629668,0.63625
"362",362,900.617385303369,952.148114307716,0.715
"550",550,900.629958758398,952.160687762745,0.63375
"28",28,900.693724568803,952.22445357315,0.6825
"960",960,900.822302549939,952.353031554286,0.6575
"564",564,901.00599688897,952.536725893317,0.65
"34",34,901.206741388224,952.737470392571,0.675
"768",768,901.242155109056,952.772884113403,0.67
"856",856,901.25505754772,952.785786552067,0.64875
"964",964,901.340947788299,952.871676792647,0.60625
"983",983,901.343840384952,948.189957661631,0.62625
"300",300,901.545345168556,948.391462445235,0.6875
"67",67,901.562973659061,948.409090935741,0.66
"949",949,901.84769969573,953.378428700077,0.60625
"192",192,902.099651180444,953.630380184792,0.65125
"923",923,902.118251804422,953.64898080877,0.67625
"864",864,902.182099998173,949.028217274853,0.61875
"994",994,902.237289555924,949.083406832603,0.62
"466",466,902.379362358053,953.9100913624,0.67375
"169",169,902.628166775065,949.474284051744,0.6525
"435",435,902.693085893696,954.223814898043,0.65375
"314",314,902.723970074614,949.570087351293,0.61125
"822",822,902.748014279461,944.909519828473,0.605
"641",641,902.798539119599,954.329268123946,0.63625
"558",558,902.817185539549,949.663302816228,0.63125
"806",806,902.958362763862,954.489091768209,0.58875
"722",722,902.973956276216,949.820073552895,0.675
"741",741,903.030617306312,954.561346310659,0.63875
"520",520,903.092008847024,954.622737851371,0.62875
"555",555,903.094318630862,954.62504763521,0.73
"823",823,903.189334792316,954.720063796663,0.6375
"472",472,903.33457189336,950.180689170039,0.685
"999",999,903.437111858922,954.967840863269,0.68125
"707",707,903.515110068027,950.361227344707,0.64
"779",779,903.831450370157,955.362179374504,0.66
"950",950,904.242237175029,955.772966179376,0.59625
"639",639,904.989477923332,956.52020692768,0.62125
"866",866,905.05131978779,951.897437064469,0.6725
"602",602,905.24527318749,956.776002191837,0.59625
"223",223,905.335488388603,956.86621739295,0.65375
"90",90,905.69316764887,957.223896653218,0.59875
"713",713,905.892547300449,948.054052849461,0.62375
"299",299,906.004775266508,948.166280815519,0.57875
"847",847,906.375456622096,953.221573898775,0.66
"955",955,906.411932375646,953.258049652325,0.695
"164",164,906.475923778317,953.322041054996,0.61875
"870",870,906.551505705897,953.397622982576,0.62
"392",392,906.63709693004,958.167825934387,0.63625
"290",290,906.638473034543,958.16920203889,0.565
"324",324,906.643198634126,953.489315910805,0.645
"436",436,906.656798999382,958.187528003729,0.6375
"497",497,906.988014452079,958.518743456427,0.6975
"202",202,907.065597768055,958.596326772402,0.585
"865",865,907.258021996044,958.788751000391,0.67875
"992",992,907.415926505667,954.262043782346,0.6325
"295",295,907.522471633514,959.053200637862,0.665
"342",342,907.927652012816,954.773769289496,0.66
