"","formulas_with","formulas_without","pvals"
"4009","response~(other_install+rent+telephone)^3","response~other_install+rent+telephone",0.264353500619439
"441","response~(duration+new_car+employment)^3","response~duration+new_car+employment",0.264278677177767
"3791","response~(guarantor+real_estate+num_credits)^3","response~guarantor+real_estate+num_credits",0.263963049289583
"1763","response~(furniture+radio.tv+amount)^3","response~furniture+radio.tv+amount",0.263776031883896
"3887","response~(present_resident+num_credits+num_dependents)^3","response~present_resident+num_credits+num_dependents",0.263600328926688
"301","response~(chk_acct+male_single+foreign)^3","response~chk_acct+male_single+foreign",0.263342920121659
"2782","response~(amount+install_rate+num_dependents)^3","response~amount+install_rate+num_dependents",0.26316435854432
"412","response~(duration+history+retraining)^3","response~duration+history+retraining",0.262951467428055
"166","response~(chk_acct+education+prop_unkn_none)^3","response~chk_acct+education+prop_unkn_none",0.262900215008704
"753","response~(duration+age+job)^3","response~duration+age+job",0.262844577704349
"410","response~(duration+history+radio.tv)^3","response~duration+history+radio.tv",0.262653625439152
"3284","response~(install_rate+male_mar_or_wid+own_res)^3","response~install_rate+male_mar_or_wid+own_res",0.262491687224032
"2554","response~(retraining+sav_acct+own_res)^3","response~retraining+sav_acct+own_res",0.262206745410418
"3684","response~(male_mar_or_wid+own_res+num_dependents)^3","response~male_mar_or_wid+own_res+num_dependents",0.261486738214586
"2580","response~(retraining+install_rate+male_mar_or_wid)^3","response~retraining+install_rate+male_mar_or_wid",0.261483375790892
"1940","response~(furniture+male_mar_or_wid+own_res)^3","response~furniture+male_mar_or_wid+own_res",0.261413112051885
"719","response~(duration+present_resident+real_estate)^3","response~duration+present_resident+real_estate",0.261303967108419
"3531","response~(male_single+guarantor+age)^3","response~male_single+guarantor+age",0.26127436921275
"3987","response~(age+rent+num_dependents)^3","response~age+rent+num_dependents",0.261202984460917
"2650","response~(retraining+co.applicant+num_dependents)^3","response~retraining+co.applicant+num_dependents",0.260950489995837
"731","response~(duration+real_estate+age)^3","response~duration+real_estate+age",0.260799137787328
"2407","response~(education+male_single+age)^3","response~education+male_single+age",0.260490459966097
"1460","response~(new_car+telephone+foreign)^3","response~new_car+telephone+foreign",0.26026062869938
"3639","response~(male_mar_or_wid+present_resident+num_dependents)^3","response~male_mar_or_wid+present_resident+num_dependents",0.260217196253704
"1085","response~(history+real_estate+own_res)^3","response~history+real_estate+own_res",0.260149181228175
"3181","response~(employment+present_resident+age)^3","response~employment+present_resident+age",0.260108592145182
"2442","response~(education+co.applicant+foreign)^3","response~education+co.applicant+foreign",0.259940541573204
"3799","response~(guarantor+prop_unkn_none+own_res)^3","response~guarantor+prop_unkn_none+own_res",0.25960528405994
"1946","response~(furniture+co.applicant+guarantor)^3","response~furniture+co.applicant+guarantor",0.259385870174296
"2519","response~(education+num_dependents+foreign)^3","response~education+num_dependents+foreign",0.259210503923085
"1649","response~(used_car+male_single+rent)^3","response~used_car+male_single+rent",0.259197486683914
"353","response~(chk_acct+real_estate+age)^3","response~chk_acct+real_estate+age",0.259047250921661
"151","response~(chk_acct+radio.tv+num_dependents)^3","response~chk_acct+radio.tv+num_dependents",0.259037621006271
"3917","response~(real_estate+other_install+num_dependents)^3","response~real_estate+other_install+num_dependents",0.258692294981286
"911","response~(history+retraining+male_mar_or_wid)^3","response~history+retraining+male_mar_or_wid",0.258442294688062
"252","response~(chk_acct+employment+telephone)^3","response~chk_acct+employment+telephone",0.258376984200057
"326","response~(chk_acct+co.applicant+num_dependents)^3","response~chk_acct+co.applicant+num_dependents",0.258336050832381
"2665","response~(retraining+present_resident+real_estate)^3","response~retraining+present_resident+real_estate",0.258243661878215
"118","response~(chk_acct+furniture+guarantor)^3","response~chk_acct+furniture+guarantor",0.25781987872916
