"","formula","aics","bics","acc"
"627",627,927.036100161869,978.566829166216,0.685
"464",464,933.786722713326,980.632839990005,0.685
"770",770,853.491011145202,905.021740149549,0.68375
"29",29,854.754944954703,901.601062231382,0.68375
"761",761,859.124625259016,905.970742535695,0.68375
"595",595,953.311674402688,1000.15779167937,0.68375
"860",860,844.592934405582,896.123663409929,0.6825
"724",724,862.390119312003,909.236236588682,0.6825
"381",381,867.548627999973,909.710133548985,0.6825
"203",203,870.388197053401,921.918926057749,0.6825
"574",574,903.332709455837,945.494215004848,0.6825
"271",271,907.92000237602,954.7661196527,0.6825
"882",882,943.637219719831,995.167948724179,0.6825
"810",810,952.354100784177,999.200218060857,0.6825
"925",925,848.412064994429,899.942793998776,0.68125
"110",110,851.672305084686,898.518422361365,0.68125
"580",580,863.554385479803,901.031279301147,0.68125
"202",202,873.615450170647,920.461567447326,0.68125
"224",224,907.403094913656,954.249212190336,0.68125
"504",504,926.161369083293,973.007486359973,0.68125
"146",146,970.113889544193,1012.2753950932,0.68125
"707",707,847.282910973129,898.813639977476,0.68
"312",312,847.540029753843,889.701535302855,0.68
"885",885,857.297534689881,908.828263694229,0.68
"135",135,860.200972563322,907.047089840001,0.68
"322",322,864.461727496526,915.992456500873,0.68
"512",512,882.049231843147,933.579960847494,0.68
"120",120,895.473518441201,947.004247445548,0.68
"814",814,923.455252013295,970.301369289974,0.68
"399",399,935.906274322702,987.43700332705,0.68
"864",864,843.996796342846,890.842913619525,0.67875
"689",689,852.601916786312,904.132645790659,0.67875
"735",735,854.229401829513,901.075519106193,0.67875
"461",461,870.006862972342,921.53759197669,0.67875
"297",297,872.924732062626,924.455461066973,0.67875
"427",427,879.9061650582,926.752282334879,0.67875
"383",383,882.785717862755,924.947223411766,0.67875
"89",89,883.774382938031,935.305111942378,0.67875
"176",176,894.277164167607,945.807893171954,0.67875
"92",92,906.040547393307,952.886664669987,0.67875
"445",445,940.036276275064,991.567005279411,0.67875
"964",964,948.732629341924,995.578746618603,0.67875
"503",503,839.300780366973,886.146897643652,0.6775
"428",428,849.786453319954,896.632570596633,0.6775
"635",635,882.847081475049,934.377810479396,0.6775
"447",447,893.361288865866,944.892017870213,0.6775
"347",347,906.56887148864,953.414988765319,0.6775
"252",252,857.416623819735,908.947352824082,0.67625
"641",641,863.454430196359,914.985159200706,0.67625
"712",712,867.405538193725,918.936267198072,0.67625
"278",278,876.910951053596,923.757068330275,0.67625
"837",837,884.198943623781,931.04506090046,0.67625
"684",684,910.728946428916,962.259675433263,0.67625
"232",232,917.871968663166,969.402697667514,0.67625
"987",987,933.711381312168,985.242110316515,0.67625
"613",613,842.948477755578,894.479206759925,0.675
"463",463,868.022650389431,914.86876766611,0.675
"901",901,896.884098546419,948.414827550766,0.675
"393",393,903.109138862994,949.955256139673,0.675
"661",661,911.91153138353,958.757648660209,0.675
"253",253,923.480762446065,965.642267995077,0.675
"23",23,924.128710129755,975.659439134102,0.675
"847",847,930.157940729087,981.688669733434,0.675
"601",601,931.123901985107,982.654630989454,0.675
"642",642,833.627364408113,880.473481684793,0.67375
"58",58,884.03216720876,930.878284485439,0.67375
"487",487,891.688763914622,943.219492918969,0.67375
"223",223,905.173700419987,956.704429424334,0.67375
"4",4,912.064053930089,958.910171206768,0.67375
"659",659,924.720677392342,971.566794669021,0.67375
"305",305,925.683246262095,977.213975266442,0.67375
"117",117,932.325614704891,983.856343709238,0.67375
"910",910,844.656160461199,896.186889465547,0.6725
"598",598,850.812169877466,897.658287154145,0.6725
"575",575,866.787673281739,913.633790558418,0.6725
"448",448,878.958709908624,930.489438912971,0.6725
"34",34,880.952314631017,932.483043635364,0.6725
"263",263,884.420598732616,935.951327736964,0.6725
"207",207,890.939578526704,942.470307531051,0.6725
"80",80,895.202528253029,942.048645529708,0.6725
"936",936,895.291450427476,946.822179431823,0.6725
"559",559,909.987649143403,956.833766420083,0.6725
"184",184,923.75316457348,970.59928185016,0.6725
"419",419,831.546729101131,883.077458105478,0.67125
"199",199,865.468514558016,916.999243562363,0.67125
"33",33,882.562246468695,934.092975473042,0.67125
"235",235,892.556969783043,944.08769878739,0.67125
"763",763,896.323598678134,943.169715954813,0.67125
"599",599,898.806436008167,945.652553284847,0.67125
"497",497,900.480743110802,952.011472115149,0.67125
"453",453,959.077764275721,1010.60849328007,0.67125
"741",741,831.679835117829,878.525952394509,0.67
"378",378,846.889636852969,893.735754129648,0.67
"919",919,851.252671923316,898.098789199995,0.67
"121",121,859.906175010906,911.436904015253,0.67
"133",133,918.698804727233,970.22953373158,0.67
"440",440,937.593356514469,989.124085518816,0.67
"442",442,858.639102214757,905.485219491436,0.66875
"64",64,866.156532578517,917.687261582864,0.66875
"284",284,876.689925508514,923.536042785194,0.66875
"701",701,878.563571352806,930.094300357153,0.66875
"344",344,885.581397317625,937.112126321973,0.66875
"485",485,898.733137938573,950.26386694292,0.66875
"620",620,925.435280372827,972.281397649506,0.66875
"804",804,928.647572212591,975.49368948927,0.66875
"149",149,929.827856410109,981.358585414457,0.66875
"890",890,846.545648469193,898.07637747354,0.6675
"78",78,855.218944355345,897.380449904357,0.6675
"396",396,861.712936467065,913.243665471412,0.6675
"757",757,862.720346612989,914.251075617336,0.6675
"185",185,865.538480735822,903.015374557165,0.6675
"904",904,869.937699509267,921.468428513614,0.6675
"455",455,877.643814099421,919.805319648432,0.6675
"131",131,880.03787913066,931.568608135007,0.6675
